"ID","Geslacht","Leeftijd","Perioden","TotaalVerkeersdoden_1","Voetganger_2","Fiets_3","BromEnSnorfietsEnBrommobiel_4","GemotInvalidenvrtgInclScootmobiel_5","Motorfiets_6","Personenauto_7","BestelautoVrachtwagen_8","OverigeDeelname_9","OnbekendeDeelname_10"
485,"   2","   4","2001JJ00","      32","       1","       7","       0","       0","       1","      20","       2","       0","       1"
486,"   2","   4","2002JJ00","      18","       1","       2","       0","       0","       2","      13","       0","       0","       0"
487,"   2","   4","2003JJ00","      28","       5","       4","       1","       0","       1","      13","       4","       0","       0"
488,"   2","   4","2004JJ00","      25","       1","       4","       0","       0","       1","      18","       1","       0","       0"
489,"   2","   4","2005JJ00","      21","       0","       6","       3","       0","       1","      11","       0","       0","       0"
490,"   2","   4","2006JJ00","      20","       1","       0","       2","       0","       0","      16","       1","       0","       0"
491,"   2","   4","2007JJ00","      23","       5","       3","       0","       0","       2","      12","       1","       0","       0"
492,"   2","   4","2008JJ00","      12","       1","       2","       0","       0","       0","       8","       0","       1","       0"
493,"   2","   4","2009JJ00","      12","       2","       2","       0","       0","       3","       5","       0","       0","       0"
494,"   2","   4","2010JJ00","      10","       1","       1","       1","       0","       0","       7","       0","       0","       0"
495,"   2","   4","2011JJ00","      12","       1","       1","       1","       0","       0","       8","       1","       0","       0"
496,"   2","   4","2012JJ00","       8","       0","       1","       0","       0","       1","       6","       0","       0","       0"
497,"   2","   4","2013JJ00","      10","       1","       1","       2","       0","       0","       6","       0","       0","       0"
498,"   2","   4","2014JJ00","       9","       0","       1","       0","       0","       0","       8","       0","       0","       0"
499,"   2","   4","2015JJ00","       8","       1","       0","       1","       0","       1","       5","       0","       0","       0"
500,"   2","   5","1996JJ00","      38","       5","       5","       1","       0","       1","      26","       0","       0","       0"
501,"   2","   5","1997JJ00","      38","       5","       9","       2","       0","       2","      18","       2","       0","       0"
502,"   2","   5","1998JJ00","      29","       2","       2","       2","       0","       2","      21","       0","       0","       0"
503,"   2","   5","1999JJ00","      27","       2","       4","       0","       0","       1","      18","       1","       1","       0"
504,"   2","   5","2000JJ00","      30","       6","       4","       0","       0","       3","      16","       0","       1","       0"
505,"   2","   5","2001JJ00","      27","       3","       7","       1","       0","       2","      14","       0","       0","       0"
506,"   2","   5","2002JJ00","      25","       2","       5","       4","       0","       1","      12","       1","       0","       0"
507,"   2","   5","2003JJ00","      19","       1","       2","       1","       0","       0","      14","       1","       0","       0"
508,"   2","   5","2004JJ00","      23","       3","       3","       1","       1","       1","      13","       1","       0","       0"
509,"   2","   5","2005JJ00","      22","       1","       9","       1","       0","       1","      10","       0","       0","       0"
510,"   2","   5","2006JJ00","      40","       3","      12","       0","       1","       2","      20","       1","       1","       0"
511,"   2","   5","2007JJ00","      19","       0","       4","       1","       0","       0","      13","       1","       0","       0"
512,"   2","   5","2008JJ00","      17","       4","       3","       1","       0","       1","       8","       0","       0","       0"
513,"   2","   5","2009JJ00","      16","       4","       1","       1","       0","       0","      10","       0","       0","       0"
514,"   2","   5","2010JJ00","      17","       1","       4","       1","       0","       2","       9","       0","       0","       0"
515,"   2","   5","2011JJ00","      17","       1","       6","       2","       0","       0","       7","       0","       1","       0"
516,"   2","   5","2012JJ00","      17","       1","       3","       1","       0","       1","      11","       0","       0","       0"
517,"   2","   5","2013JJ00","      10","       0","       3","       0","       0","       0","       7","       0","       0","       0"
518,"   2","   5","2014JJ00","      11","       1","       2","       2","       0","       0","       5","       1","       0","       0"
519,"   2","   5","2015JJ00","       9","       1","       3","       0","       0","       0","       5","       0","       0","       0"
520,"   2","   6","1996JJ00","      32","       4","       9","       2","       0","       0","      15","       1","       1","       0"
521,"   2","   6","1997JJ00","      30","       8","       6","       1","       0","       1","      14","       0","       0","       0"
522,"   2","   6","1998JJ00","      39","       8","       7","       2","       1","       0","      20","       0","       1","       0"
523,"   2","   6","1999JJ00","      28","       2","       8","       2","       0","       0","      16","       0","       0","       0"
524,"   2","   6","2000JJ00","      33","       1","      10","       3","       0","       0","      17","       2","       0","       0"
525,"   2","   6","2001JJ00","      24","       3","       8","       1","       1","       0","       9","       2","       0","       0"
526,"   2","   6","2002JJ00","      34","       5","       6","       1","       0","       1","      18","       3","       0","       0"
527,"   2","   6","2003JJ00","      24","       3","       8","       0","       0","       2","       8","       3","       0","       0"
528,"   2","   6","2004JJ00","      25","       3","      11","       0","       0","       2","       9","       0","       0","       0"
529,"   2","   6","2005JJ00","      26","       5","       7","       3","       0","       0","      10","       1","       0","       0"
530,"   2","   6","2006JJ00","      29","       2","      12","       1","       1","       1","      11","       1","       0","       0"
531,"   2","   6","2007JJ00","      19","       2","       5","       2","       0","       1","       9","       0","       0","       0"
532,"   2","   6","2008JJ00","      22","       2","       6","       1","       2","       2","       8","       1","       0","       0"
533,"   2","   6","2009JJ00","      18","       1","       7","       2","       0","       1","       7","       0","       0","       0"
534,"   2","   6","2010JJ00","      21","       6","       4","       1","       1","       3","       5","       1","       0","       0"
535,"   2","   6","2011JJ00","      16","       3","       5","       1","       1","       0","       6","       0","       0","       0"
536,"   2","   6","2012JJ00","      12","       1","       2","       2","       0","       0","       7","       0","       0","       0"
537,"   2","   6","2013JJ00","      18","       2","       9","       3","       1","       0","       3","       0","       0","       0"
538,"   2","   6","2014JJ00","      12","       0","       6","       1","       0","       0","       5","       0","       0","       0"
539,"   2","   6","2015JJ00","      20","       4","       5","       4","       0","       0","       7","       0","       0","       0"
540,"   2","   7","1996JJ00","      25","       6","       9","       0","       0","       0","      10","       0","       0","       0"
541,"   2","   7","1997JJ00","      35","       4","      16","       2","       2","       0","      11","       0","       0","       0"
542,"   2","   7","1998JJ00","      46","       8","      21","       0","       1","       0","      16","       0","       0","       0"
543,"   2","   7","1999JJ00","      35","       5","      11","       3","       1","       0","      12","       0","       0","       3"
544,"   2","   7","2000JJ00","      34","       6","      12","       1","       0","       0","      15","       0","       0","       0"
545,"   2","   7","2001JJ00","      35","       3","      13","       2","       0","       0","      16","       1","       0","       0"
546,"   2","   7","2002JJ00","      28","       7","      10","       4","       0","       0","       7","       0","       0","       0"
547,"   2","   7","2003JJ00","      39","       5","      16","       2","       0","       0","      15","       1","       0","       0"
548,"   2","   7","2004JJ00","      30","       1","      11","       1","       3","       0","      14","       0","       0","       0"
549,"   2","   7","2005JJ00","      22","       2","      10","       0","       0","       0","      10","       0","       0","       0"
550,"   2","   7","2006JJ00","      31","       4","      15","       3","       0","       0","       9","       0","       0","       0"
551,"   2","   7","2007JJ00","      27","       6","       8","       2","       0","       0","       9","       1","       0","       1"
552,"   2","   7","2008JJ00","      21","       4","      11","       1","       0","       0","       5","       0","       0","       0"
553,"   2","   7","2009JJ00","      23","       3","       8","       2","       1","       0","       9","       0","       0","       0"
554,"   2","   7","2010JJ00","      21","       3","       8","       0","       3","       0","       6","       1","       0","       0"
555,"   2","   7","2011JJ00","      18","       1","       7","       1","       0","       0","       8","       0","       1","       0"
556,"   2","   7","2012JJ00","      25","       3","      10","       2","       1","       0","       9","       0","       0","       0"
557,"   2","   7","2013JJ00","      21","       2","      13","       1","       1","       0","       4","       0","       0","       0"
558,"   2","   7","2014JJ00","      13","       2","       7","       0","       1","       0","       3","       0","       0","       0"
559,"   2","   7","2015JJ00","      27","       2","      18","       1","       1","       0","       5","       0","       0","       0"
560,"   2","   8","1996JJ00","      72","      20","      25","       2","       0","       1","      21","       0","       1","       2"
561,"   2","   8","1997JJ00","      68","      11","      22","       1","       1","       1","      32","       0","       0","       0"
562,"   2","   8","1998JJ00","      52","      13","      11","       2","       0","       0","      26","       0","       0","       0"
563,"   2","   8","1999JJ00","      55","       8","      14","       3","       4","       0","      25","       0","       0","       1"
564,"   2","   8","2000JJ00","      54","       7","      25","       3","       1","       0","      17","       0","       0","       1"
565,"   2","   8","2001JJ00","      45","       9","      17","       0","       1","       0","      18","       0","       0","       0"
566,"   2","   8","2002JJ00","      41","      14","       9","       2","       0","       0","      15","       0","       1","       0"
567,"   2","   8","2003JJ00","      41","       7","      19","       2","       1","       0","      12","       0","       0","       0"
568,"   2","   8","2004JJ00","      36","       3","      11","       2","       0","       0","      19","       1","       0","       0"
569,"   2","   8","2005JJ00","      41","      12","      13","       0","       0","       1","      15","       0","       0","       0"
570,"   2","   8","2006JJ00","      36","       5","      16","       1","       2","       0","      12","       0","       0","       0"
571,"   2","   8","2007JJ00","      37","       6","      16","       0","       2","       0","      13","       0","       0","       0"
572,"   2","   8","2008JJ00","      41","       5","      19","       0","       2","       0","      15","       0","       0","       0"
573,"   2","   8","2009JJ00","      30","       5","      12","       3","       0","       0","      10","       0","       0","       0"
574,"   2","   8","2010JJ00","      30","       5","      17","       2","       1","       0","       5","       0","       0","       0"
575,"   2","   8","2011JJ00","      42","       7","      16","       0","       5","       0","      14","       0","       0","       0"
576,"   2","   8","2012JJ00","      48","       7","      31","       1","       1","       0","       8","       0","       0","       0"
577,"   2","   8","2013JJ00","      36","       9","      16","       3","       0","       0","       8","       0","       0","       0"
578,"   2","   8","2014JJ00","      42","       1","      22","       3","       0","       0","      16","       0","       0","       0"
579,"   2","   8","2015JJ00","      38","       6","      21","       0","       2","       0","       9","       0","       0","       0"
580,"   2","   9","1996JJ00","      41","      14","      10","       2","       0","       0","      13","       0","       1","       1"
581,"   2","   9","1997JJ00","      41","      17","      12","       1","       2","       0","       9","       0","       0","       0"
582,"   2","   9","1998JJ00","      29","       9","       7","       0","       0","       0","      12","       0","       0","       1"
583,"   2","   9","1999JJ00","      31","       9","       8","       0","       2","       0","      12","       0","       0","       0"
584,"   2","   9","2000JJ00","      24","       8","       5","       1","       2","       0","       8","       0","       0","       0"
585,"   2","   9","2001JJ00","      29","      12","       5","       0","       1","       0","      10","       0","       0","       1"
586,"   2","   9","2002JJ00","      38","       9","       9","       2","       0","       0","      17","       0","       1","       0"
587,"   2","   9","2003JJ00","      33","      15","       8","       1","       1","       0","       8","       0","       0","       0"
588,"   2","   9","2004JJ00","      32","      11","       5","       0","       4","       0","      12","       0","       0","       0"
589,"   2","   9","2005JJ00","      28","       9","       9","       0","       2","       0","       7","       1","       0","       0"
590,"   2","   9","2006JJ00","      33","       7","      18","       0","       3","       0","       5","       0","       0","       0"
591,"   2","   9","2007JJ00","      26","       7","      10","       0","       2","       0","       7","       0","       0","       0"
592,"   2","   9","2008JJ00","      31","      10","      10","       0","       1","       0","      10","       0","       0","       0"
593,"   2","   9","2009JJ00","      37","      11","      12","       0","       2","       0","      11","       0","       0","       1"
594,"   2","   9","2010JJ00","      27","      10","       6","       3","       1","       0","       7","       0","       0","       0"
595,"   2","   9","2011JJ00","      44","      10","      13","       1","       6","       0","      14","       0","       0","       0"
596,"   2","   9","2012JJ00","      26","       9","       7","       1","       2","       0","       7","       0","       0","       0"
597,"   2","   9","2013JJ00","      34","       8","      15","       1","       3","       0","       7","       0","       0","       0"
598,"   2","   9","2014JJ00","      36","       7","      10","       1","       5","       0","      13","       0","       0","       0"
599,"   2","   9","2015JJ00","      30","       4","      12","       1","       2","       0","      11","       0","       0","       0"
