"ID","Geslacht","Leeftijd","Perioden","TotaalDodelijkeOngevallen_1","TotaalDodelijkeVervoersongevallen_2","Voetganger_3","Fiets_4","BromEnSnorfietsEnBrommobiel_5","GemotInvalidenvoertuigScootmobiel_6","Motorfiets_7","Personenauto_8","BestelautoVrachtauto_9","OverigOnbekend_10","AccidenteleVal_11","AccidenteleVerdrinking_12","TotaalAccidenteleVergiftiging_13","Medicijnen_14","Drugs_15","Alcohol_16","OverigOnbekend_17","TotaalOverigeDodelijkeOngevallen_18","MechanischEffect_19","RookVuurEnVlammen_20","Verstikking_21","OverigInclLaatGevolg_22","TotaalDodelijkeOngevallen_23","DodelijkeVervoersongevallen_24","AccidenteleVal_25","AccidenteleVerdrinking_26","AccidenteleVergiftigingInclOpzetOnb_27","OverigeDodelijkeOngevallen_28"
237,"3000","41100","2013JJ00","      31","       9","       4","       2","       0","       0","       0","       0","       0","       3","       1","       9","       0","       0","       0","       0","       0","      12","       1","       2","       4","       5","     2.1","     0.6","     0.1","     0.6","     0.0","     0.8"
238,"3000","41100","2014JJ00","      31","      14","       2","       8","       0","       0","       0","       3","       0","       1","       2","       6","       0","       0","       0","       0","       0","       9","       2","       0","       5","       2","     2.1","     1.0","     0.1","     0.4","     0.0","     0.6"
239,"3000","41100","2015JJ00","      34","      17","       3","       7","       2","       0","       0","       2","       0","       3","       3","       7","       0","       0","       0","       0","       0","       7","       2","       0","       5","       0","     2.4","     1.2","     0.2","     0.5","     0.0","     0.5"
240,"3000","70400","1996JJ00","     112","     100","       4","      15","      39","       0","       4","      29","       1","       8","       4","       3","       1","       0","       1","       0","       0","       4","       3","       0","       1","       0","    23.7","    21.1","     0.8","     0.6","     0.2","     0.8"
241,"3000","70400","1997JJ00","     102","      83","       4","      15","      30","       0","       2","      28","       1","       3","       6","       2","       2","       1","       0","       1","       0","       9","       4","       1","       2","       2","    21.5","    17.5","     1.3","     0.4","     0.4","     1.9"
242,"3000","70400","1998JJ00","     103","      93","       6","      10","      40","       0","       1","      30","       2","       4","       4","       1","       2","       0","       2","       0","       0","       3","       2","       0","       1","       0","    21.8","    19.7","     0.8","     0.2","     0.4","     0.6"
243,"3000","70400","1999JJ00","     101","      84","       2","      15","      25","       0","       2","      38","       1","       1","       2","       5","       3","       1","       2","       0","       0","       7","       4","       0","       1","       2","    21.3","    17.7","     0.4","     1.1","     0.6","     1.5"
244,"3000","70400","2000JJ00","     112","     102","       3","      14","      35","       0","       5","      33","       8","       4","       0","       0","       3","       1","       2","       0","       0","       7","       5","       0","       1","       1","    23.5","    21.4","     0.0","     0.0","     0.6","     1.5"
245,"3000","70400","2001JJ00","      93","      74","       4","      10","      22","       0","       2","      35","       1","       0","       0","       2","       3","       1","       2","       0","       0","      14","       6","       5","       2","       1","    19.4","    15.4","     0.0","     0.4","     0.6","     2.9"
246,"3000","70400","2002JJ00","     113","      95","       2","       9","      30","       0","       1","      47","       3","       3","       1","       6","       2","       0","       2","       0","       0","       9","       2","       2","       2","       3","    23.2","    19.5","     0.2","     1.2","     0.4","     1.8"
247,"3000","70400","2003JJ00","      83","      77","       3","       6","      23","       0","       2","      37","       5","       1","       0","       4","       0","       0","       0","       0","       0","       2","       0","       1","       1","       0","    16.8","    15.6","     0.0","     0.8","     0.0","     0.4"
248,"3000","70400","2004JJ00","      80","      64","       2","       9","      16","       0","       2","      33","       0","       2","       2","       4","       3","       1","       1","       0","       1","       7","       1","       0","       0","       6","    16.0","    12.8","     0.4","     0.8","     0.6","     1.4"
249,"3000","70400","2005JJ00","      59","      49","       2","       4","      21","       0","       1","      20","       0","       1","       2","       2","       1","       0","       0","       0","       1","       5","       2","       1","       0","       2","    11.7","     9.7","     0.4","     0.4","     0.2","     1.0"
250,"3000","70400","2006JJ00","      63","      53","       0","      11","      15","       0","       1","      21","       1","       4","       1","       2","       2","       1","       1","       0","       0","       5","       0","       1","       0","       4","    12.4","    10.4","     0.2","     0.4","     0.4","     1.0"
251,"3000","70400","2007JJ00","      67","      58","       3","       8","      21","       0","       2","      21","       2","       1","       0","       3","       1","       0","       0","       0","       1","       5","       2","       0","       2","       1","    13.1","    11.3","     0.0","     0.6","     0.2","     1.0"
252,"3000","70400","2008JJ00","      57","      45","       2","       3","      14","       0","       2","      22","       0","       2","       2","       3","       2","       0","       0","       1","       1","       5","       1","       0","       0","       4","    11.1","     8.7","     0.4","     0.6","     0.4","     1.0"
253,"3000","70400","2009JJ00","      58","      48","       2","       8","       7","       0","       1","      24","       2","       4","       2","       1","       1","       0","       1","       0","       0","       6","       4","       1","       1","       0","    11.2","     9.3","     0.4","     0.2","     0.2","     1.2"
254,"3000","70400","2010JJ00","      45","      38","       0","       6","       9","       0","       2","      17","       2","       2","       0","       7","       0","       0","       0","       0","       0","       0","       0","       0","       0","       0","     8.7","     7.3","     0.0","     1.4","     0.0","     0.0"
255,"3000","70400","2011JJ00","      41","      31","       2","       7","       9","       0","       0","      11","       0","       2","       2","       1","       3","       1","       1","       1","       0","       4","       1","       0","       2","       1","     8.0","     6.0","     0.4","     0.2","     0.6","     0.8"
256,"3000","70400","2012JJ00","      33","      22","       3","       5","       4","       0","       0","       8","       0","       2","       0","       2","       2","       0","       1","       0","       1","       7","       3","       2","       1","       1","     6.5","     4.3","     0.0","     0.4","     0.4","     1.4"
257,"3000","70400","2013JJ00","      46","      32","       0","       5","       5","       0","       2","      18","       1","       1","       3","       7","       1","       0","       1","       0","       0","       3","       2","       0","       0","       1","     9.0","     6.3","     0.6","     1.4","     0.2","     0.6"
258,"3000","70400","2014JJ00","      41","      33","       3","       3","       8","       0","       0","      13","       0","       6","       0","       2","       2","       2","       0","       0","       0","       4","       2","       1","       0","       1","     8.0","     6.5","     0.0","     0.4","     0.4","     0.8"
259,"3000","70400","2015JJ00","      42","      34","       1","       2","       4","       0","       3","      17","       3","       4","       2","       0","       2","       2","       0","       0","       0","       4","       3","       0","       0","       1","     8.1","     6.6","     0.4","     0.0","     0.4","     0.8"
260,"3000","60300","1996JJ00","     325","     264","      13","       5","      12","       0","      30","     162","       6","      36","       9","       4","      29","       4","      21","       0","       4","      19","      10","       5","       2","       2","    27.2","    22.1","     0.8","     0.3","     2.4","     1.6"
261,"3000","60300","1997JJ00","     281","     216","       4","       9","       5","       0","      32","     149","       9","       8","      12","       5","      19","       3","      14","       0","       2","      29","      11","       8","       2","       8","    24.2","    18.6","     1.0","     0.4","     1.6","     2.5"
262,"3000","60300","1998JJ00","     247","     189","       8","       5","       8","       0","      26","     132","       3","       7","      10","       8","      19","       2","      16","       0","       1","      21","       7","       7","       3","       4","    21.9","    16.7","     0.9","     0.7","     1.7","     1.9"
263,"3000","60300","1999JJ00","     266","     205","       7","       7","       9","       1","      30","     131","      10","      10","      13","       7","      18","       1","      13","       1","       3","      23","      13","       2","       2","       6","    24.3","    18.7","     1.2","     0.6","     1.6","     2.1"
264,"3000","60300","2000JJ00","     250","     196","      14","       7","       9","       0","      24","     127","      12","       3","      12","       4","      22","       0","      22","       0","       0","      16","       6","       3","       3","       4","    23.5","    18.4","     1.1","     0.4","     2.1","     1.5"
265,"3000","60300","2001JJ00","     228","     165","       6","       8","       9","       0","      21","      98","      18","       5","      17","       1","      18","       2","      14","       0","       2","      27","      10","       5","       5","       7","    21.9","    15.9","     1.6","     0.1","     1.7","     2.6"
266,"3000","60300","2002JJ00","     218","     182","       5","       7","       7","       0","      26","     113","      13","      11","       7","       3","      14","       2","       9","       1","       2","      12","       6","       0","       2","       4","    21.4","    17.8","     0.7","     0.3","     1.4","     1.2"
267,"3000","60300","2003JJ00","     211","     168","       4","       4","       5","       0","      30","     112","       8","       5","       7","       4","      16","       4","      10","       1","       1","      16","       7","       1","       1","       7","    21.0","    16.7","     0.7","     0.4","     1.6","     1.6"
268,"3000","60300","2004JJ00","     176","     132","       5","       6","       5","       1","      28","      81","       3","       3","      12","       5","      17","       2","      15","       0","       0","      10","       4","       1","       0","       5","    17.7","    13.3","     1.2","     0.5","     1.7","     1.0"
269,"3000","60300","2005JJ00","     153","     110","       4","       6","       6","       0","      11","      74","       4","       5","       5","       4","      17","       2","      14","       1","       0","      17","       6","       3","       3","       5","    15.5","    11.2","     0.5","     0.4","     1.7","     1.7"
270,"3000","60300","2006JJ00","     151","     108","       7","       2","      13","       0","      12","      67","       5","       2","       6","       2","      16","       1","      11","       3","       1","      19","       3","       3","       1","      12","    15.3","    11.0","     0.6","     0.2","     1.6","     1.9"
271,"3000","60300","2007JJ00","     153","     116","       4","       6","       8","       0","      21","      67","       9","       1","      13","       8","      10","       0","      10","       0","       0","       6","       3","       0","       2","       1","    15.5","    11.8","     1.3","     0.8","     1.0","     0.6"
272,"3000","60300","2008JJ00","     132","      97","       1","       3","       6","       0","      14","      63","       7","       3","       3","       1","      15","       2","      11","       1","       1","      16","       5","       4","       0","       7","    13.2","     9.7","     0.3","     0.1","     1.5","     1.6"
273,"3000","60300","2009JJ00","     147","      95","       3","       3","       6","       0","      20","      56","       3","       4","       8","       6","      23","       1","      19","       1","       2","      15","       5","       1","       5","       4","    14.6","     9.4","     0.8","     0.6","     2.3","     1.5"
274,"3000","60300","2010JJ00","     125","      88","       6","       4","       5","       0","      13","      49","       5","       6","       6","       7","      13","       0","      10","       0","       3","      11","       4","       1","       1","       5","    12.2","     8.6","     0.6","     0.7","     1.3","     1.1"
275,"3000","60300","2011JJ00","     125","      83","       5","       5","       3","       0","      19","      44","       2","       5","       7","       8","      11","       2","       9","       0","       0","      16","       8","       0","       3","       5","    12.1","     8.0","     0.7","     0.8","     1.1","     1.5"
276,"3000","60300","2012JJ00","     125","      88","       6","       4","       4","       0","       9","      58","       3","       4","       8","       8","      16","       3","      11","       2","       0","       5","       2","       0","       1","       2","    12.0","     8.4","     0.8","     0.8","     1.5","     0.5"
277,"3000","60300","2013JJ00","     134","      89","       2","       8","       8","       0","      11","      51","       7","       2","       8","       4","      19","       2","      16","       1","       0","      14","       2","       4","       1","       7","    12.7","     8.4","     0.8","     0.4","     1.8","     1.3"
278,"3000","60300","2014JJ00","      98","      60","       2","       2","       3","       0","      15","      29","       4","       5","       6","       2","      19","       8","       5","       1","       5","      11","       7","       0","       2","       2","     9.2","     5.6","     0.6","     0.2","     1.8","     1.0"
279,"3000","60300","2015JJ00","     106","      68","       3","       5","       8","       0","      13","      31","       4","       4","       4","       6","      17","       5","       9","       0","       3","      11","       5","       2","       1","       3","     9.8","     6.3","     0.4","     0.6","     1.6","     1.0"
280,"3000","60400","1996JJ00","     201","     121","       5","       1","       1","       0","      25","      72","       5","      12","      15","       8","      29","       3","      18","       2","       6","      28","      15","       4","       5","       4","    15.3","     9.2","     1.1","     0.6","     2.2","     2.1"
281,"3000","60400","1997JJ00","     224","     135","       5","      10","       6","       0","      28","      71","       7","       8","      14","       7","      37","       6","      28","       2","       1","      31","      19","       1","       1","      10","    17.0","    10.2","     1.1","     0.5","     2.8","     2.4"
282,"3000","60400","1998JJ00","     220","     124","       8","       7","       6","       0","      18","      76","       4","       5","      20","      12","      32","       6","      25","       0","       1","      32","      15","       3","       6","       8","    16.6","     9.3","     1.5","     0.9","     2.4","     2.4"
283,"3000","60400","1999JJ00","     216","     117","       5","       8","       8","       0","      25","      56","       8","       7","      11","      13","      41","       4","      33","       2","       2","      34","      14","       5","       5","      10","    16.2","     8.8","     0.8","     1.0","     3.1","     2.5"
284,"3000","60400","2000JJ00","     210","     119","       9","      11","       3","       0","      20","      60","      12","       4","      10","       9","      37","       7","      27","       1","       2","      35","      18","       4","       3","      10","    15.6","     8.8","     0.7","     0.7","     2.8","     2.6"
285,"3000","60400","2001JJ00","     219","     132","       4","      10","       5","       0","      35","      61","      10","       7","      16","       6","      35","       1","      32","       0","       2","      30","      13","       4","       4","       9","    16.2","     9.8","     1.2","     0.4","     2.6","     2.2"
286,"3000","60400","2002JJ00","     213","     125","       6","      10","       9","       0","      31","      56","       5","       8","      13","       7","      37","       9","      25","       2","       1","      31","       7","       6","       7","      11","    15.9","     9.3","     1.0","     0.5","     2.8","     2.3"
287,"3000","60400","2003JJ00","     223","     132","       3","       8","      12","       0","      27","      66","       8","       8","      19","       8","      36","       1","      27","       7","       1","      28","       9","       4","       3","      12","    16.9","    10.0","     1.4","     0.6","     2.7","     2.1"
