"Key","Title","Description","CategoryGroupID"
"10000","Totaal alle leeftijden",,
"41100","Jonger dan 15 jaar",,
"70400","15 tot 20 jaar",,
"60300","20 tot 30 jaar",,
"60400","30 tot 40 jaar",,
"60500","40 tot 50 jaar",,
"60600","50 tot 60 jaar",,
"60700","60 tot 70 jaar",,
"60800","70 tot 80 jaar",,
"21700","80 jaar of ouder",,
